name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_spread_pct,ibkr_liquidite,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status,score_petit_compte,score_technique,score_momentum,signaux,ecart_prix_pct,score_final,nb_actions_rec,cout_total,cout_avec_frais,allocation_pct,horizon_rec,stop_loss_pct,take_profit_pct,prix_stop,prix_target
FIN.OUEST AFRICAIN,SN0000033192,FOAF,Euronext Paris,EUR,13.5,2025-08-29,13.5,993.0,13405.5,FOAF,SMART,13.5,HISTORICAL,,,,,13.5,,,2025-08-31T18:15:46.126888,OK,CACHE:ISIN:SN0000033192->FOAF@SMART,WEEKEND,25,15,0,PRIX_OPTIMAL,0.0,13.5,1.0,13.5,15.5,15.0,3-5 jours,-8.0,10.0,12.42,14.85
ARVERNE GROUP,FR001400JWR8,ARVEN,Euronext Paris,EUR,5.25,2025-08-29,5.25,7895.0,42266.4,ARVEN,SMART,5.26,HISTORICAL,,,,,5.26,,,2025-08-31T18:12:26.216635,OK,CACHE:ISIN:FR001400JWR8->ARVEN@SMART,WEEKEND,25,0,0,,0.1904761904761864,7.5,2.0,10.52,12.52,15.0,3-5 jours,-8.0,10.0,4.84,5.79
NAI ORD SHARES,NL0015000CG2,NAI,Euronext Amsterdam,EUR,9.4,2025-08-29,9.4,51.0,474.4,NAI,SMART,9.4,HISTORICAL,,,,,9.4,,,2025-08-31T18:18:21.327300,OK,CACHE:ISIN:NL0015000CG2->NAI@SMART,WEEKEND,25,0,0,,0.0,7.5,1.0,9.4,11.4,15.0,3-5 jours,-8.0,10.0,8.65,10.34
NEPI ROCKCASTLE,NL0015000RT3,NRP,Euronext Amsterdam,EUR,7.2,2025-08-29,7.2,327.0,2337.64,NRP,SMART,7.2,HISTORICAL,,,,,7.2,,,2025-08-31T18:18:27.288062,OK,CACHE:ISIN:NL0015000RT3->NRP@SMART,WEEKEND,25,0,0,,0.0,7.5,2.0,14.4,16.4,15.0,3-5 jours,-8.0,10.0,6.62,7.92
BEVER HOLDING,NL0000285278,BEVER,Euronext Amsterdam,EUR,2.8,2025-08-29,2.8,211.0,600.8,BEVER,SMART,2.8,HISTORICAL,,,,,2.8,,,2025-08-31T18:13:09.512226,OK,CACHE:ISIN:NL0000285278->BEVER@SMART,WEEKEND,0,0,0,,0.0,0.0,5.0,14.0,16.0,15.0,3-5 jours,-8.0,10.0,2.58,3.08
ALUMEXX N.V.,NL0012194724,ALX,Euronext Amsterdam,EUR,1.42,2025-08-29,1.42,2002.0,2804.43,ALX,SMART,1.42,HISTORICAL,,,,,1.42,,,2025-08-31T18:12:09.021644,OK,CACHE:ISIN:NL0012194724->ALX@SMART,WEEKEND,0,0,0,,0.0,0.0,10.0,14.2,16.2,15.0,3-5 jours,-8.0,10.0,1.31,1.56
ELECT. MADAGASCAR,FR0000035719,EEM,Euronext Paris,EUR,3.02,2025-08-29,3.02,266.0,803.32,EEM,SMART,3.02,HISTORICAL,,,,,3.02,,,2025-08-31T18:15:03.871875,OK,CACHE:ISIN:FR0000035719->EEM@SMART,WEEKEND,0,0,0,,0.0,0.0,5.0,15.1,17.1,15.0,3-5 jours,-8.0,10.0,2.78,3.32
CABKA EUR 13W,NL00150000V1,DSCW3,Euronext Amsterdam,EUR,0.0015,2025-08-29,0.0015,25.0,0.04,DSCW3,SMART,0.0015,HISTORICAL,,,,,0.0015,,,2025-08-31T18:13:37.151404,OK,CACHE:ISIN:NL00150000V1->DSCW3@SMART,WEEKEND,0,0,0,,0.0,0.0,10240.0,15.36,17.36,15.0,3-5 jours,-8.0,10.0,0.0,0.0
CABKA EUR 12W,NL00150000U3,DSCW2,Euronext Amsterdam,EUR,0.0025,2025-08-29,0.0025,25.0,0.06,DSCW2,SMART,0.0025,HISTORICAL,,,,,0.0025,,,2025-08-31T18:13:35.872170,OK,CACHE:ISIN:NL00150000U3->DSCW2@SMART,WEEKEND,0,0,0,,0.0,0.0,6144.0,15.36,17.36,15.0,3-5 jours,-8.0,10.0,0.0,0.0
HAWICK DATA NV,NL0010556726,HWK,Euronext Amsterdam,EUR,2.3,2025-08-29,2.3,41025.0,95177.3,IEX,SMART,2.3,HISTORICAL,,,,,2.3,,,2025-08-31T18:16:37.803758,OK,CACHE:ISIN:NL0010556726->IEX@SMART,WEEKEND,0,0,0,,0.0,0.0,6.0,13.799999999999999,15.799999999999999,15.0,3-5 jours,-8.0,10.0,2.12,2.53
